Lat,Lon,State_Ab,County
41.349098,-72.41338,CT,MIDDLESEX
40.582845,-74.27524,NJ,MIDDLESEX
40.670858,-74.109486,NJ,HUDSON
40.808549,-74.187005,NJ,ESSEX
40.918648,-74.430696,NJ,MORRIS
40.820541,-73.98782,NJ,BERGEN
40.877949,-74.141237,NJ,PASSAIC
40.654802,-74.304792,NJ,UNION
40.629101,-74.532449,NJ,SOMERSET
41.115723,-74.593439,NJ,SUSSEX
40.358409,-74.068143,NJ,MONMOUTH
40.869648,-74.849661,NJ,WARREN
40.717424,-74.813951,NJ,HUNTERDON
39.559077,-75.350573,NJ,SALEM
39.908663,-75.010307,NJ,CAMDEN
39.753858,-74.293989,NJ,OCEAN
40.049948,-74.917061,NJ,BURLINGTON
39.802163,-75.339215,NJ,GLOUCESTER
39.563616,-74.711081,NJ,ATLANTIC
39.112027,-74.731427,NJ,CAPE MAY
39.3762,-75.1617,NJ,CUMBERLAND
40.281558,-74.572449,NJ,MERCER
,,AE,
40.750422,-73.996328,NY,NEW YORK
40.623632,-74.093323,NY,RICHMOND
40.819329,-73.920355,NY,BRONX
41.293169,-73.759033,NY,WESTCHESTER
41.415979,-73.725197,NY,PUTNAM
41.137295,-74.105737,NY,ROCKLAND
41.386195,-74.125718,NY,ORANGE
40.720051,-73.706783,NY,NASSAU
40.745263,-73.711159,NY,QUEENS
40.694481,-73.989319,NY,KINGS
42.482455,-73.936671,NY,ALBANY
42.859176,-73.902117,NY,SCHENECTADY
42.906298,-74.229042,NY,MONTGOMERY
42.28004,-73.837035,NY,GREENE
42.309805,-73.565617,NY,COLUMBIA
42.670645,-73.55142,NY,RENSSELAER
42.934416,-73.848971,NY,SARATOGA
43.082793,-74.160753,NY,FULTON
42.592287,-74.438129,NY,SCHOHARIE
42.980783,-73.352206,NY,WASHINGTON
42.632058,-74.667368,NY,OTSEGO
43.667618,-74.456913,NY,HAMILTON
42.413508,-74.61939,NY,DELAWARE
41.96973,-74.06678,NY,ULSTER
41.826491,-73.710901,NY,DUTCHESS
41.686944,-74.677156,NY,SULLIVAN
43.31888,-73.669061,NY,WARREN
44.214452,-73.787317,NY,ESSEX
44.71187,-73.637104,NY,CLINTON
44.674942,-74.444789,NY,FRANKLIN
44.287829,-74.702338,NY,SAINT LAWRENCE
42.823968,-76.062425,NY,ONONDAGA
42.894381,-76.565683,NY,CAYUGA
43.310494,-76.135765,NY,OSWEGO
43.005767,-75.798607,NY,MADISON
42.565932,-75.955301,NY,CORTLAND
42.477712,-76.291224,NY,TOMPKINS
43.14548,-75.559605,NY,ONEIDA
42.822662,-76.80197,NY,SENECA
42.479801,-75.622857,NY,CHENANGO
43.238248,-76.752077,NY,WAYNE
43.818705,-75.480342,NY,LEWIS
43.271433,-75.04774,NY,HERKIMER
44.072542,-76.016589,NY,JEFFERSON
42.049798,-76.181009,NY,TIOGA
42.080494,-76.097288,NY,BROOME
43.013808,-78.525296,NY,ERIE
42.998052,-78.184813,NY,GENESEE
43.291696,-78.626944,NY,NIAGARA
42.597171,-78.37463,NY,WYOMING
42.474283,-78.247413,NY,ALLEGANY
42.408583,-78.984391,NY,CATTARAUGUS
42.487716,-79.328287,NY,CHAUTAUQUA
43.324031,-78.367151,NY,ORLEANS
43.195261,-77.855883,NY,MONROE
42.895631,-77.735104,NY,LIVINGSTON
42.754115,-77.026379,NY,YATES
42.813576,-77.289687,NY,ONTARIO
42.535363,-77.628857,NY,STEUBEN
42.375566,-76.732706,NY,SCHUYLER
42.156516,-76.93164,NY,CHEMUNG
40.675225,-80.304178,PA,BEAVER
40.341349,-80.382247,PA,WASHINGTON
40.493128,-79.903121,PA,ALLEGHENY
40.070268,-79.603426,PA,FAYETTE
40.361852,-79.75128,PA,WESTMORELAND
39.870635,-80.211335,PA,GREENE
39.752401,-79.330768,PA,SOMERSET
40.198627,-78.622801,PA,BEDFORD
39.943762,-78.122265,PA,FULTON
40.847829,-79.451575,PA,ARMSTRONG
40.542875,-79.397809,PA,INDIANA
41.171119,-78.913113,PA,JEFFERSON
40.658721,-78.794582,PA,CAMBRIA
41.054375,-78.41095,PA,CLEARFIELD
41.415878,-78.665057,PA,ELK
41.475887,-79.239101,PA,FOREST
41.417566,-78.204927,PA,CAMERON
40.885861,-79.934048,PA,BUTLER
40.98399,-79.615234,PA,CLARION
40.964516,-80.300736,PA,LAWRENCE
41.629436,-80.214024,PA,CRAWFORD
41.286567,-80.423727,PA,MERCER
41.330725,-79.775153,PA,VENANGO
41.935848,-79.309668,PA,WARREN
41.742791,-78.78726,PA,MCKEAN
41.894652,-80.311081,PA,ERIE
40.489433,-78.349874,PA,BLAIR
40.54851,-78.095064,PA,HUNTINGDON
40.813628,-78.238986,PA,CENTRE
41.615099,-77.957975,PA,POTTER
41.105476,-77.50553,PA,CLINTON
41.862339,-77.258974,PA,TIOGA
41.77197,-76.521266,PA,BRADFORD
40.21604,-76.924996,PA,CUMBERLAND
40.539667,-77.790168,PA,MIFFLIN
40.352637,-76.435873,PA,LEBANON
40.600992,-76.811693,PA,DAUPHIN
40.29736,-77.56437,PA,PERRY
40.478716,-77.345514,PA,JUNIATA
40.894363,-76.596151,PA,NORTHUMBERLAND
40.091217,-76.977835,PA,YORK
40.150963,-76.61028,PA,LANCASTER
39.908055,-77.666445,PA,FRANKLIN
39.896923,-76.994725,PA,ADAMS
41.266716,-76.958314,PA,LYCOMING
41.432901,-76.516887,PA,SULLIVAN
40.978059,-77.08184,PA,UNION
40.726469,-77.272828,PA,SNYDER
41.218998,-76.395426,PA,COLUMBIA
40.991968,-76.647082,PA,MONTOUR
40.708751,-76.282986,PA,SCHUYLKILL
40.693376,-75.471156,PA,NORTHAMPTON
40.514472,-75.602941,PA,LEHIGH
40.813281,-75.59202,PA,CARBON
40.328645,-75.10278,PA,BUCKS
40.382488,-75.51541,PA,MONTGOMERY
40.454205,-75.581444,PA,BERKS
40.903599,-75.476885,PA,MONROE
40.964584,-76.008333,PA,LUZERNE
41.185011,-74.97889,PA,PIKE
41.615989,-75.274708,PA,WAYNE
41.487598,-75.533403,PA,LACKAWANNA
41.654319,-75.614463,PA,SUSQUEHANNA
41.562365,-75.782573,PA,WYOMING
39.998811,-75.30793,PA,DELAWARE
40.001811,-75.11787,PA,PHILADELPHIA
40.040057,-75.488793,PA,CHESTER
,,PA,
39.594736,-75.693903,DE,NEW CASTLE
39.156376,-75.49549,DE,KENT
38.555533,-75.186955,DE,SUSSEX
38.911936,-77.016719,DC,DISTRICT OF COLUMBIA
39.002125,-77.442066,VA,LOUDOUN
38.6842,-78.016813,VA,RAPPAHANNOCK
38.744685,-77.487162,VA,MANASSAS CITY
38.770741,-77.449443,VA,MANASSAS PARK CITY
38.840456,-77.891136,VA,FAUQUIER
38.84479,-77.46701,VA,FAIRFAX
38.734255,-77.547383,VA,PRINCE WILLIAM
38.603783,-76.867928,MD,CHARLES
38.247149,-76.748088,MD,SAINT MARYS
38.666071,-76.998396,MD,PRINCE GEORGES
38.444727,-76.533026,MD,CALVERT
39.1332,-76.798843,MD,HOWARD
38.802263,-76.645735,MD,ANNE ARUNDEL
38.96851,-77.140801,MD,MONTGOMERY
39.499909,-76.231177,MD,HARFORD
39.496406,-76.486624,MD,BALTIMORE
39.499102,-76.910108,MD,CARROLL
39.296536,-76.623489,MD,BALTIMORE CITY
39.580691,-78.690593,MD,ALLEGANY
39.58935,-79.230969,MD,GARRETT
38.800714,-76.051486,MD,TALBOT
39.073391,-76.060665,MD,QUEEN ANNES
38.740562,-75.958683,MD,CAROLINE
39.366812,-76.067079,MD,KENT
38.479813,-76.079864,MD,DORCHESTER
39.512748,-77.369299,MD,FREDERICK
39.666266,-77.954912,MD,WASHINGTON
38.382445,-75.633621,MD,WICOMICO
38.310447,-75.320901,MD,WORCESTER
37.998308,-75.818797,MD,SOMERSET
39.535078,-75.894051,MD,CECIL
38.853231,-77.305097,VA,FAIRFAX CITY
38.884177,-77.171752,VA,FALLS CHURCH CITY
38.885484,-77.099113,VA,ARLINGTON
38.823062,-77.079622,VA,ALEXANDRIA CITY
38.295135,-77.483689,VA,FREDERICKSBURG CITY
38.417273,-77.460814,VA,STAFFORD
38.271969,-77.606772,VA,SPOTSYLVANIA
38.008401,-77.260353,VA,CAROLINE
37.837435,-76.345493,VA,NORTHUMBERLAND
38.344608,-77.871855,VA,ORANGE
38.024704,-77.037147,VA,ESSEX
38.121793,-76.79025,VA,WESTMORELAND
38.326218,-77.039825,VA,KING GEORGE
37.879797,-76.598782,VA,RICHMOND
37.667319,-76.404996,VA,LANCASTER
39.169668,-78.16856,VA,WINCHESTER CITY
39.150074,-78.268988,VA,FREDERICK
38.818692,-78.275719,VA,WARREN
39.135711,-77.991926,VA,CLARKE
38.983383,-78.403766,VA,SHENANDOAH
38.763022,-78.387191,VA,PAGE
38.511694,-77.9928,VA,CULPEPER
38.428509,-78.267848,VA,MADISON
38.422777,-78.877137,VA,HARRISONBURG CITY
38.490526,-78.817876,VA,ROCKINGHAM
38.325455,-79.094228,VA,AUGUSTA
38.093604,-78.561139,VA,ALBEMARLE
38.026588,-78.48045,VA,CHARLOTTESVILLE CITY
37.972758,-78.82231,VA,NELSON
38.270529,-78.557765,VA,GREENE
37.893119,-78.338579,VA,FLUVANNA
38.065794,-78.903445,VA,WAYNESBORO CITY
37.28822,-76.426013,VA,GLOUCESTER
37.342768,-77.984092,VA,AMELIA
37.563225,-78.53643,VA,BUCKINGHAM
37.754912,-77.480128,VA,HANOVER
37.798833,-77.180912,VA,KING WILLIAM
37.479524,-76.949981,VA,NEW KENT
37.733844,-77.888082,VA,GOOCHLAND
37.410286,-76.294103,VA,MATHEWS
37.701823,-76.916248,VA,KING AND QUEEN
37.90754,-77.798047,VA,LOUISA
37.64794,-78.138859,VA,CUMBERLAND
37.354115,-77.073103,VA,CHARLES CITY
37.598391,-76.447551,VA,MIDDLESEX
37.531296,-77.416103,VA,HENRICO
37.223482,-76.783317,VA,JAMES CITY
37.235892,-76.445567,VA,YORK
37.553314,-77.892964,VA,POWHATAN
37.454138,-77.66258,VA,CHESTERFIELD
37.524246,-77.493157,VA,RICHMOND CITY
37.310451,-76.746769,VA,WILLIAMSBURG CITY
37.712919,-75.661132,VA,ACCOMACK
36.989766,-76.572291,VA,ISLE OF WIGHT
37.432247,-75.880425,VA,NORTHAMPTON
36.749991,-76.218759,VA,CHESAPEAKE CITY
36.874916,-76.553061,VA,SUFFOLK CITY
36.844004,-76.12036,VA,VIRGINIA BEACH CITY
36.895911,-76.208521,VA,NORFOLK CITY
37.058296,-76.463471,VA,NEWPORT NEWS CITY
37.072658,-76.38992,VA,HAMPTON CITY
37.132326,-76.365419,VA,POQUOSON CITY
36.811498,-76.367715,VA,PORTSMOUTH CITY
37.233941,-77.334831,VA,PRINCE GEORGE
37.21713,-77.389253,VA,PETERSBURG CITY
36.858078,-77.894632,VA,BRUNSWICK
37.072361,-77.647495,VA,DINWIDDIE
37.12237,-77.978923,VA,NOTTOWAY
36.611614,-77.207263,VA,SOUTHAMPTON
37.26219,-77.396989,VA,COLONIAL HEIGHTS CITY
37.065785,-76.915537,VA,SURRY
36.694745,-77.535517,VA,EMPORIA CITY
36.682635,-76.942233,VA,FRANKLIN CITY
37.286676,-77.296596,VA,HOPEWELL CITY
36.864325,-77.282567,VA,SUSSEX
36.721471,-77.531996,VA,GREENSVILLE
37.280694,-78.421284,VA,PRINCE EDWARD
36.70774,-78.281204,VA,MECKLENBURG
37.087895,-78.637846,VA,CHARLOTTE
36.918641,-78.052391,VA,LUNENBURG
37.377196,-78.80648,VA,APPOMATTOX
37.274175,-79.95786,VA,ROANOKE CITY
37.250349,-80.05251,VA,ROANOKE
37.351517,-79.905211,VA,BOTETOURT
37.210663,-80.406172,VA,MONTGOMERY
36.612434,-80.504446,VA,PATRICK
36.670446,-79.742557,VA,HENRY
37.198248,-80.615065,VA,PULASKI
37.098391,-79.95233,VA,FRANKLIN
36.594226,-79.616614,VA,PITTSYLVANIA
37.044622,-80.227981,VA,FLOYD
37.277231,-80.670159,VA,GILES
37.21229,-79.742886,VA,BEDFORD
36.681298,-79.86626,VA,MARTINSVILLE CITY
37.498957,-80.138591,VA,CRAIG
37.119732,-80.556541,VA,RADFORD
37.28814,-80.067762,VA,SALEM
36.613815,-82.176238,VA,BRISTOL
36.740217,-82.026738,VA,WASHINGTON
36.923445,-82.796445,VA,WISE
37.130943,-82.344881,VA,DICKENSON
36.743491,-83.22336,VA,LEE
37.043978,-81.855318,VA,RUSSELL
37.287992,-82.027408,VA,BUCHANAN
36.711382,-82.833676,VA,SCOTT
36.93767,-82.622624,VA,NORTON CITY
36.608229,-81.584934,VA,GRAYSON
36.869374,-81.399235,VA,SMYTH
36.854655,-80.922512,VA,WYTHE
37.127348,-81.15842,VA,BLAND
36.664788,-80.729669,VA,CARROLL
36.660281,-80.913605,VA,GALAX CITY
37.006018,-81.570038,VA,TAZEWELL
38.157368,-79.065116,VA,STAUNTON CITY
38.055311,-79.746367,VA,BATH
38.385967,-79.559157,VA,HIGHLAND
37.926477,-79.329162,VA,ROCKBRIDGE
37.730001,-79.355121,VA,BUENA VISTA CITY
37.824232,-79.823119,VA,CLIFTON FORGE CITY
37.780216,-79.986963,VA,COVINGTON CITY
37.796454,-79.785987,VA,ALLEGHANY
37.779976,-79.443495,VA,LEXINGTON CITY
37.383112,-79.178326,VA,LYNCHBURG CITY
37.242503,-79.109789,VA,CAMPBELL
36.596827,-79.043054,VA,HALIFAX
37.59162,-79.108441,VA,AMHERST
37.336027,-79.522585,VA,BEDFORD CITY
