group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
Z1,MAINTENANCE OF TROOP HOUSING FACILITIES,Z1FC,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF DINING FACILITIES,Z1FD,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF RELIGIOUS FACILITIES,Z1FE,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF PENAL FACILITIES,Z1FF,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF OTHER RESIDENTIAL BUILDINGS,Z1FZ,4,Facilities & Construction,4.2,Construction Related Services
Z1,MAINTENANCE OF AMMUNITION STORAGE BUILDINGS,Z1GA,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF FOOD OR GRAIN STORAGE BUILDINGS,Z1GB,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF FUEL STORAGE BUILDINGS,Z1GC,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF OPEN STORAGE FACILITIES,Z1GD,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF OTHER WAREHOUSE BUILDINGS,Z1GZ,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF GOVERNMENT-OWNED CONTRACTOR-OPERATED GOCO R&D FACILITIES,Z1HA,4,Facilities & Construction,4.4,Facility Related Services
