group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
22,LOCOMOTIVE AND RAIL CAR ACCESSORIES AND COMPONENTS,2240,7,Transportation and Logistics Services,7.6,Transportation Equipment
22,"TRACK MATERIAL, RAILROAD",2250,7,Transportation and Logistics Services,7.6,Transportation Equipment
23,GROUND EFFECT VEHICLES,2305,7,Transportation and Logistics Services,7.5,Motor Vehicles
23,PASSENGER MOTOR VEHICLES,2310,7,Transportation and Logistics Services,7.5,Motor Vehicles
23,"TRUCKS AND TRUCK TRACTORS, WHEELED",2320,7,Transportation and Logistics Services,7.5,Motor Vehicles
23,TRAILERS,2330,7,Transportation and Logistics Services,7.6,Transportation Equipment
23,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",2340,7,Transportation and Logistics Services,7.6,Transportation Equipment
23,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED",2350,11,"""Aircraft, Ships/Submarines & Land Vehicles""",11.2,Land Combat Vehicles
23,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",2355,11,"""Aircraft, Ships/Submarines & Land Vehicles""",11.2,Land Combat Vehicles
24,"TRACTOR, FULL TRACKED, LOW SPEED",2410,7,Transportation and Logistics Services,7.6,Transportation Equipment
24,"TRACTORS, WHEELED",2420,7,Transportation and Logistics Services,7.6,Transportation Equipment
24,"TRACTORS, FULL TRACKED, HIGH SPEED",2430,7,Transportation and Logistics Services,7.6,Transportation Equipment
25,"VEHICULAR CAB, BODY, AND FRAME STRUCTURAL COMPONENTS",2510,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
25,VEHICULAR POWER TRANSMISSION COMPONENTS,2520,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
25,"VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",2530,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
25,VEHICULAR FURNITURE AND ACCESSORIES,2540,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
25,WEAPONS SYSTEMS SPECIFIC VEHICULAR ACCESSORIES,2541,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
25,MISCELLANEOUS VEHICULAR COMPONENTS,2590,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
26,"TIRES AND TUBES, PNEUMATIC, EXCEPT AIRCRAFT",2610,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
26,"TIRES AND TUBES, PNEUMATIC, AIRCRAFT",2620,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
26,"TIRES, SOLID AND CUSHION",2630,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
26,TIRE REBUILDING AND TIRE AND TUBE REPAIR MATERIALS,2640,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,"GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS",2805,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,"GASOLINE RECIPROCATING ENGINES, AIRCRAFT PRIME MOVER; AND COMPONENTS",2810,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,DIESEL ENGINES AND COMPONENTS,2815,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,"STEAM ENGINES, RECIPROCATING; AND COMPONENTS",2820,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,STEAM TURBINES AND COMPONENTS,2825,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,WATER TURBINES AND WATER WHEELS; AND COMPONENTS,2830,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,"GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS",2835,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",2840,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,ROCKET ENGINES AND COMPONENTS,2845,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,GASOLINE ROTARY ENGINES AND COMPONENTS,2850,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
28,MISCELLANEOUS ENGINES AND COMPONENTS,2895,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT",2910,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE FUEL SYSTEM COMPONENTS, AIRCRAFT AND MISSILE PRIME MOVERS",2915,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE ELECTRICAL SYSTEM COMPONENTS, NONAIRCRAFT",2920,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE ELECTRICAL SYSTEM COMPONENTS, AIRCRAFT PRIME MOVING",2925,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT",2930,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE SYSTEM COOLING COMPONENTS, AIRCRAFT PRIME MOVING",2935,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",2940,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"ENGINE AIR AND OIL FILTERS, CLEANERS, AIRCRAFT PRIME MOVING",2945,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,TURBOSUPERCHARGER AND COMPONENTS,2950,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT",2990,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
29,"MISCELLANEOUS ENGINE ACCESSORIES, AIRCRAFT",2995,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
30,TORQUE CONVERTERS AND SPEED CHANGERS,3010,5,Industrial Products & Services,5.1,Machinery & Components
30,"GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN",3020,5,Industrial Products & Services,5.1,Machinery & Components
30,"BELTING, DRIVE BELTS, FAN BELTS, AND ACCESSORIES",3030,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
30,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,3040,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
31,"BEARINGS, ANTIFRICTION, UNMOUNTED",3110,5,Industrial Products & Services,5.1,Machinery & Components
